65	YPS400	(1)	8	:	0.004	0.866	0.115	0.007	0.004	0.005	
68	YPS604	(1)	8	:	0.004	0.866	0.117	0.006	0.004	0.004	
33	YPS606m	(0)	8	:	0.004	0.865	0.117	0.005	0.004	0.004	
63	YPS139s1	(1)	8	:	0.004	0.864	0.118	0.004	0.005	0.005	
66	YPS600	(1)	8	:	0.004	0.863	0.118	0.004	0.004	0.005	
69	YPS608	(1)	8	:	0.005	0.862	0.120	0.006	0.003	0.003	
64	YPS396	(1)	8	:	0.007	0.856	0.119	0.007	0.006	0.004	
70	YPS610	(1)	8	:	0.006	0.854	0.123	0.006	0.004	0.007	
32	YPS128m	(1)	8	:	0.004	0.852	0.124	0.009	0.005	0.005	
57	SM01s1	(1)	8	:	0.062	0.829	0.059	0.042	0.005	0.003	
58	SM02s1	(2)	8	:	0.004	0.827	0.073	0.045	0.005	0.045	
45	ARN244As1	(1)	8	:	0.001	0.622	0.031	0.270	0.010	0.066	
22	UWOPS83_787	(1)	8	:	0.120	0.393	0.063	0.254	0.000	0.170	
20	UWOPS05_217	(1)	8	:	0.005	0.005	0.928	0.004	0.051	0.006	
19	UWOPS03_461	(1)	8	:	0.004	0.004	0.927	0.004	0.057	0.005	
21	UWOPS05_227	(1)	8	:	0.004	0.003	0.925	0.005	0.057	0.006	
26	Y9m	(0)	8	:	0.005	0.004	0.005	0.881	0.003	0.102	
24	Y12m	(0)	8	:	0.008	0.004	0.005	0.825	0.005	0.153	
11	K11m	(0)	8	:	0.005	0.004	0.005	0.777	0.016	0.192	
43	ARN231As1	(3)	8	:	0.072	0.200	0.005	0.585	0.004	0.134	
23	UWOPS87_242	(1)	8	:	0.226	0.119	0.004	0.580	0.008	0.063	
46	ARN245As1	(2)	8	:	0.005	0.263	0.007	0.570	0.004	0.151	
34	AN1f2s1	(0)	8	:	0.097	0.041	0.005	0.558	0.008	0.290	
28	YJM789	(1)	8	:	0.356	0.003	0.003	0.539	0.003	0.097	
35	AN1g2s1	(3)	8	:	0.407	0.010	0.003	0.470	0.087	0.023	
14	NCYC110m	(1)	8	:	0.004	0.066	0.006	0.059	0.859	0.005	
9	DBVPG6044m	(1)	8	:	0.006	0.061	0.006	0.066	0.854	0.006	
18	SK1m	(1)	8	:	0.004	0.054	0.002	0.108	0.765	0.067	
